"Table 310-31001 : Gross Domestic Product (GDP), implicit price deflator of GDP and per capita GDP",,
 ,,
 , ,GDP in chained (2024) dollars (1)
,,HK$ million
Year,Quarter,
2001,Q1,411116
2001,Q2,416179
2001,Q3,437709
2001,Q4,443821
2002,Q1,408726
2002,Q2,418244
2002,Q3,448009
2002,Q4,462155
2003,Q1,424557
2003,Q2,415889
2003,Q3,465884
2003,Q4,483896
2004,Q1,458132
2004,Q2,466320
2004,Q3,498061
2004,Q4,523463
2005,Q1,487344
2005,Q2,500372
2005,Q3,539601
2005,Q4,562432
2006,Q1,531221
2006,Q2,530920
2006,Q3,574083
2006,Q4,600490
2007,Q1,562425
2007,Q2,563686
2007,Q3,612592
2007,Q4,642610
2008,Q1,601994
2008,Q2,586258
2008,Q3,618376
2008,Q4,625357
2009,Q1,555251
2009,Q2,568226
2009,Q3,607896
2009,Q4,640807
2010,Q1,599276
2010,Q2,604470
2010,Q3,647538
2010,Q4,681437
2011,Q1,644853
2011,Q2,635300
2011,Q3,672927
2011,Q4,701584
2012,Q1,650072
2012,Q2,641569
2012,Q3,684878
2012,Q4,723282
2013,Q1,672429
2013,Q2,661298
2013,Q3,705913
2013,Q4,743896
2014,Q1,692345
2014,Q2,675857
2014,Q3,728720
2014,Q4,763507
2015,Q1,708639
2015,Q2,696746
2015,Q3,745332
2015,Q4,778014
2016,Q1,716781
2016,Q2,709331
2016,Q3,762203
2016,Q4,804129
2017,Q1,748762
2017,Q2,736767
2017,Q3,788735
2017,Q4,831776
2018,Q1,782631
2018,Q2,761446
2018,Q3,809326
2018,Q4,841063
2019,Q1,785008
2019,Q2,762020
2019,Q3,783371
2019,Q4,810643
2020,Q1,711536
2020,Q2,690208
2020,Q3,751796
2020,Q4,781928
2021,Q1,770164
2021,Q2,742563
2021,Q3,793529
2021,Q4,818679
2022,Q1,739556
2022,Q2,731780
2022,Q3,754975
2022,Q4,783460
2023,Q1,759210
2023,Q2,742724
2023,Q3,785986
2023,Q4,816668
 ,,
Note(s):,,
"In Hong Kong, the first released figures on GDP by expenditure component in respect of a period are called ""advance estimates"". When more data become available, the figures will be revised. All those figures published subsequently, after the advance estimates, are called ""revised figures"". These ""revised figures"" are still subject to further regular revision later on when more data are incorporated. This routine revision is in accordance with the international practice to compile and release GDP figures at the earliest possible time by using only partial data. In general, the figures are finalised when finalised data from all regular sources are incorporated.",,
"Changes over time in the GDP at current prices can be factored into two components, reflecting:(i) changes in the prices of goods and services produced or purchased ; and(ii) changes in their volumes.",,
Changes in chained dollar estimates of GDP reflect changes in the volumes of goods and services produced or purchased from one period to another. The effect of changes in prices has been removed.,,
"The rate of change of GDP in real terms for 2026 is forecast to be 2.5% to 3.5%. For more information on the forecast of GDP, please visit the website of the Office of the Government Economist.",,
"1 The reference year for the chain volume measures of GDP and its components has been revised from 2023 to 2024. Re-referencing affects the levels, but not the rates of change, of the chain volume measures. Apart from re-referencing, the volume estimates for 2025 previously valued at 2023 prices have also been revalued at 2024 prices. This rebasing of the volume measures affects the real rates of change of the annual and quarterly GDP for 2025. ",,
 ,,
Source:,,
"National Income Section (1)1,Census and Statistics Department(Enquiry telephone no. : 3863 2727 Enquiry e-mail : gdp-e@censtatd.gov.hk)",,
 ,,
"Release Date: 15 May, 2026",,
